S.No,Category,Main tag,Sub tag,Main tag 2,Sub tag 2,Main tag 2,Sub tag 2,Sub category,Sub category-2,,Title,Upload time(in yrs),Length ( min rounder to next minute),Views(In K rounded to '000s),Likes ( In K rounded to next),Singer/Narrator,Lable/Owner/YT channel,Link,Comment,,,Main tag,Sub tag,Category,Sub Category,Sub Category-2,Sub category-3,Singer,Lable
1,Song,Krishna aarti,Aarti,Krishna bhakti,Aarti,,,Short < 5Min,Aarti,,Aarti Kunj Bihari Ki KRISHNA AARTI with LYRICS By HARIHARAN I FULL VIDEO SONG I JANMASHTAMI SPECIAL,16,4,67060,286,Hariharan,T-series,https://www.youtube.com/watch?v=EMO1AT1UQf0,,,,Krishna bhakti,bhakt,Song,Short < 5Min,Bhajan,Old style,Gulsan Kumar,T-series
2,Song,Krishna aarti,Aarti,,,,,Short < 5Min,Bhajan,,Krishna Aarti - Main Aarti Teri Gau O Keshav Kunj Bihari Full Song | Krishna Bhajan | Morning Bhajan,20,5,5187,29,male,other,https://www.youtube.com/watch?v=gIH5dvdnixU,,,,Krishna bhajan,Mantra,Strories,Medium 5-10 min,Aarti,New age,Hariharan,Saregama
3,Song,Krishna aarti,Aarti,,,,,Short < 5Min,Aarti,,Aarti Kunj Bihari Ki आरती कुंज बिहारी की - Krishna Aarti | Alka Yagnik | Krishna Songs | Aarti,20,5,84,1,female,other,https://www.youtube.com/watch?v=7uksZpDMglg,,,,Krishna aarti,Bhajan,Dance,Long 10-20 min,Life story,Still image videos,Anuradha Porwal,Pen
4,Song,Krishna bhajan,Bhajan,,,,,Medium 5-10 min,Bhajan,,Choti Choti Gaiya Chote Chote Gwal | Krishna Bhajan | Morning Bhajan | Chhoti Chhoti Gaiya,20,7,1854,8.6,mix,other,https://www.youtube.com/watch?v=Um-EjBs3cCs,,,,Krishna chalisa,Aarti,serial,Ultra long > 20 min,Random facts,Animated,Lakha,Venus
5,Song,Krishna bhajan,Bhajan,,,,,Medium 5-10 min,Bhajan,,Mera Aapki Kripa Se Sab Kaam Ho Raha Hai Original | Krishna Bhajan | Karte Ho Tum Kanhaiya Mera Naam,18,7,1981,8.4,male,other,https://www.youtube.com/watch?v=I1oR3MNHAFk,,,,Krishna Kathaye,Chalisa,,,Amritvani,Image collection,Shankar Mahadevan,Zee Music
6,Song,Krishna bhajan,Bhajan,,,,,Medium 5-10 min,Bhajan,,Jitna Radha Roi Roi Kanha Ke Liye Song | जितना राधा रोई रोई कान्हा के लिए | Krishna Bhajan कृष्ण भजन,19,8,976,4.3,male,other,https://www.youtube.com/watch?v=Pkl7-jerfok,,,,Mandir bramadh,Dharm kathye,,,Collection of bhajans,real footage,Khailesh Kher,Tips
7,Song,Krishna bhajan,Bhajan,,,,,Ultra long > 20 min,Bhajan,,🔴 Govind Bolo Hari Gopal Bolo - Krishna Bhagwan Ke Bhajan | हिंदी कृष्ण भजन | God Krishna Songs,17,120,768,1.7,mix,other,https://www.youtube.com/watch?v=AT5ybhPje1Q,,,,Krishna Astha,Rochak kisse,,,Chalisa,,"Sneha Pandit, Milind Borwankar, Nihar Shembekar, Taher Shabbir and Ruchi Narain",Sanskar TV
8,Song,Krishna bhajan,Bhajan,,,,,Ultra long > 20 min,mantra,,Krishna Mantra - Om Namo Bhagavate Vasudevaya by Shailendra Bhartti | Krishna Songs | Bhakti Songs,16,90,140,1,male,other,https://www.youtube.com/watch?v=0cKncLcG4pc,,,,Krishna gyan,Yudh kathaye,,,stuti,,brijesh shandilya,everybody productions
9,Song,Krishna bhajan,Bhajan,Krishna bhakti,Bhajan,,,Ultra long > 20 min,Bhajan,,Hey Raam Hey Raam -Jagjit Singh- www.facebook.com/KeepingJagjitSinghAlive,13,26,68238,336,male,other,https://www.youtube.com/watch?v=f1y2ZBFVXnA,,,,Dharavahik,Mandir,,,mantra,,Sooryagayathri,Chith Foundation
10,Song,Krishna bhajan,Bhajan,Krishna bhakti,Bhajan,,,Ultra long > 20 min,Bhajan,,Jagjit Singh | Hare Krishna Hare Rama | Keshwa Madhwa | Om Namo Bhagavate | Shri Krishna / Ram Dhun,11,43,18532,94,male,Venus,https://www.youtube.com/watch?v=DpiqtZSLB3w,,,,,City,,,collection of manta,,Sachet Tandon,Self
11,Song,Krishna bhajan,Bhajan,Krishna bhakti,Bhajan,,,Ultra long > 20 min,Bhajan,,राधे राधे बरसाने वाली राधे,16,42,290224,1400,male,other,https://www.youtube.com/watch?v=4rURry0UFB8,,,,,Astha,,,strotra,,Shekhar Ravjiani,Sheemaro
12,Song,Krishna bhajan,Bhajan,,,,,Ultra long > 20 min,Bhajan,,किशोरी कुछ ऐसा इंतज़ाम हो जाए,16,50,86592,435,male,other,https://www.youtube.com/watch?v=hgKodNuhuDY,,,,,Vrat,,,शिव महापुराण,,Maanya Arora,Krishna Das Music
13,Song,Krishna bhajan,Bhajan,,,,,Long 10-20 min,Bhajan,,बताओ कहा मिलेगा श्याम ||,21,16,6375,36,male,other,https://www.youtube.com/watch?v=kuDH6AuAM0E,,,,,Tyohar,,,serial,,Krishna das,Shree Jee Bhakti
14,Song,Krishna bhajan,Bhajan,,,,,Long 10-20 min,Bhajan,,नॉनस्टॉप श्री कृष्ण भजन,21,36,3331,13,male,other,https://www.youtube.com/watch?v=ea3u2jKu5qk,,,,,Vachan,,,shiv puran,,Bijender Chauhan,Shemaroo Music (on behalf of Nupur Audio)
16,Song,Krishna bhajan,Bhajan,,,,,Long 10-20 min,Bhajan,,Sanwali Surat pe dil Mohan,14,11,298403,1100,male,other,https://www.youtube.com/watch?v=KXzugW5bTYY,,,,,Geeta,,,TV,,ANURADHA PAUDWAL,Bhakti Aradhana
17,Song,Krishna bhajan,Bhajan,,,,,Long 10-20 min,Bhajan,,ACHYUTAM KESHAVAM KRISHNA DAMODARAM,20,20,2535,13,male,other,https://www.youtube.com/watch?v=QgzZKbb_M78,,,,,Vichar,,,,,Kumar Vishu,Sonotek
18,Song,Krishna bhajan,Bhajan,,,,,Long 10-20 min,Bhajan,,Achyutam Keshavam Krishna Damodaram,20,12,5661,67,male,other,https://www.youtube.com/watch?v=hALfm47I16c,,,,,Sri Krishan,,,,,"Pamela Jain, Shailendra Bhartti",Red Ribbon
19,Song,Krishna bhajan,Bhajan,,,,,Short < 5Min,Bhajan,,Achutam Keshavam Krishna,19,5,3177,25,male,other,https://www.youtube.com/watch?v=3_opBl8eVkw,,,,,Mahabharat,,,,,Ravi Raj,other
20,Song,Krishna bhajan,Bhajan,,,,,Medium 5-10 min,Bhajan,,Koi Kahe Shyam Murari,20,7,7,1,male,other,https://www.youtube.com/watch?v=EPfoSdYSuno,,,,,Jeevan kanaiya,,,,,Kavita Paudwal,Baba Balaknath Ji Bhajans
21,Song,Krishna bhajan,Bhajan,,,,,Medium 5-10 min,Bhajan,,अवध में राम आए है | Full Bhajan | Jaya Kishori,20,6,35057,428,female,other,https://www.youtube.com/watch?v=0Y_L99RWOgk,,,,,,,,,,SURESH WADKAR,Bhakti Gaana
22,Song,Krishna bhajan,Bhajan,,,,,Medium 5-10 min,Collection of bhajans,,श्याम बाबा के सुपरहिट 10 भजन shyam baba ke top 10 bhajan shyam ji parivar,20,106,5899,46,male,other,https://www.youtube.com/watch?v=1VAkhG3FPX8,,,,,,,,,,mutilple,sony music
23,Song,Krishna bhajan,Bhajan,,,,,Medium 5-10 min,Bhajan,,Jis Ghar Me Khatu Wale Ki ||,17,7,34173,153,male,other,https://www.youtube.com/watch?v=YfWGuSSrJzI,,,,,,,,,,Rakesh Kala,bhakti dhaam
24,Song,Krishna bhajan,Bhajan,,,,,Medium 5-10 min,Bhajan,,क्यूँ घबराऊ मैं मेरा तो श्याम से नाता है !! संजय मित्तल,18,9,40112,150,Sanjay Mittal,other,https://www.youtube.com/watch?v=-D1PyeK-K6Q,,,,,,,,,,Ashwani Amarnath,hansraj
25,Song,Krishna bhajan,Bhajan,,,,,Ultra long > 20 min,Collection of bhajans,,Radha Krishna Bhajans Songs,21,62,639,7.5,male,other,https://www.youtube.com/watch?v=5iSFnS5UtUM,Ravi Raj (8286802175),,,,,,,,,MADHUSMITA,rajshri
26,Song,Krishna bhajan,Bhajan,,,,,Medium 5-10 min,Bhajan,,जिस घर में रोज यह भजन सुना जाता है वहाँ श्री कृष्ण जी का सदा वास रहता है...,18,8,6909,44,male,other,https://www.youtube.com/watch?v=txzX-8Ss_fM,,,,,,,,,,Ravindra Sathe,Vipul Music
27,Strories,Krishna Kathaye,Rochak kisse,,,,,Short < 5Min,Random facts,,Sri Krishna kaise bane Ladoo Gopal,1,4,8,0.1,Female,HINDU MYTHOLOGY - The Hidden Truth,https://www.youtube.com/watch?v=c-I4h1qoWb8,,,,,,,,,,male,
28,Strories,Krishna Astha,Astha,,,,,Long 10-20 min,Random facts,,"लड्डू गोपाल घर पर हैं, तो रखें इन बातों का ध्यान, ना करें यह काम",21,19,615,9.1,female,other,https://www.youtube.com/watch?v=VgVusoDb4uU,,,,,,,,,,female,
29,Song,Krishna bhajan,Bhajan,,,,,Medium 5-10 min,Bhajan,,मेरे बृज की माटी चन्दन है,20,8,1943,17,male,Shree Jee Bhakti,https://www.youtube.com/watch?v=xowjQ-6wymA,,,,,,,,,,Amitabh Bachchan,
30,Song,Krishna bhajan,Bhajan,,,,,Medium 5-10 min,Bhajan,,Shree Krishna Govind Hare Murari | Krishna Bhajan | Maanya Arora | Divine Chants,18,6,37549,436,Maanya Arora,other,https://www.youtube.com/watch?v=SszSt0o_UQI,,,,,,,,,,hansraj,
31,Song,Krishna bhajan,Bhajan,,,,,Ultra long > 20 min,Collection of bhajans,,टॉप 10 राधा कृष्ण भजन,21,74,227,2.8,female,other,https://www.youtube.com/watch?v=tZZeF7x7tOA,,,,,,,,,,mix,
32,Song,Krishna bhajan,Bhajan,,,,,Ultra long > 20 min,Collection of bhajans,,Non-Stop Best Krishna Special Bhajans,18,92,2182,17,male,other,https://www.youtube.com/watch?v=a8DSMrqNKD8,,,,,,,,,,sonu nigam,
33,Song,Krishna bhajan,Bhajan,,,,,Short < 5Min,Bhajan,,Ram Siya Ram (Full Song) Sachet Tandon | Poonam Thakkar | Shabbir Ahmed | Sidhika Sharma | T-Series,21,4,11733,208,Sachet Tandon,T-series,https://www.youtube.com/watch?v=txXXRMfp12w,,,,,,,,,,anup jalota,
34,Song,Krishna bhajan,Bhajan,,,,,Medium 5-10 min,Bhajan,,ऐसी लागी लगन मीरा हो गई मगन - जावेद अली | Aisi Lagi Lagan with Lyrics,18,9,34831,293,male,Sheemaro,https://www.youtube.com/watch?v=dnCE-kSHES0,,,,,,,,,,Sanjay Mittal,
